"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2025","11,323.18","11,343.60","11,343.60","11,274.07","405.96K","-0.18%"
"06/11/2025","11,343.60","11,359.05","11,365.21","11,301.40","414.59K","-0.14%"
"06/10/2025","11,359.69","11,375.62","11,393.55","11,343.11","383.62K","-0.14%"
"06/09/2025","11,375.56","11,399.65","11,421.83","11,334.22","314.28K","-0.24%"
"06/05/2025","11,403.00","11,416.86","11,430.16","11,380.47","479.36K","-0.12%"
"06/04/2025","11,416.60","11,399.25","11,442.87","11,398.99","342.44K","0.16%"
"06/03/2025","11,398.37","11,366.85","11,403.99","11,333.94","445.82K","0.28%"
"06/02/2025","11,366.85","11,363.58","11,372.59","11,330.21","468.57K","0.03%"
"05/30/2025","11,363.58","11,395.54","11,419.21","11,331.46","1.17M","-0.28%"
"05/29/2025","11,395.36","11,419.90","11,425.45","11,337.56","374.28K","-0.21%"
"05/28/2025","11,419.44","11,411.19","11,420.17","11,385.58","619.50K","0.08%"
"05/27/2025","11,410.86","11,430.23","11,436.13","11,383.70","418.01K","-0.17%"
"05/26/2025","11,430.38","11,422.78","11,447.47","11,416.97","467.77K","0.07%"
"05/23/2025","11,422.78","11,422.38","11,433.34","11,388.54","481.16K","0.00%"
"05/22/2025","11,422.38","11,393.13","11,422.92","11,374.14","904.41K","0.23%"
"05/21/2025","11,396.00","11,352.17","11,407.28","11,339.28","1.30M","0.39%"
"05/20/2025","11,352.17","11,377.88","11,406.79","11,320.85","699.08K","-0.21%"
"05/19/2025","11,376.22","11,360.55","11,390.63","11,341.83","486.65K","0.14%"
"05/16/2025","11,360.55","11,333.38","11,368.30","11,333.38","293.95K","0.23%"
"05/15/2025","11,334.25","11,318.51","11,357.52","11,318.51","806.11K","0.14%"
"05/14/2025","11,318.51","11,305.09","11,324.55","11,295.70","294.75K","0.09%"
"05/13/2025","11,308.50","11,317.85","11,339.40","11,280.00","528.43K","-0.08%"
"05/12/2025","11,317.86","11,313.05","11,361.59","11,278.49","515.05K","0.04%"
"05/09/2025","11,313.05","11,356.20","11,356.20","11,285.69","539.09K","-0.41%"
"05/08/2025","11,360.16","11,368.47","11,374.30","11,321.85","612.62K","-0.06%"
"05/07/2025","11,366.92","11,314.90","11,367.31","11,292.88","547.82K","0.46%"
"05/06/2025","11,314.90","11,304.19","11,319.50","11,258.61","634.09K","0.09%"
"05/05/2025","11,304.19","11,228.04","11,304.19","11,226.96","1.01M","0.68%"
"05/02/2025","11,227.59","11,273.57","11,273.57","11,201.25","909.95K","-0.41%"
"04/30/2025","11,273.57","11,200.94","11,273.57","11,185.80","458.17K","0.65%"
"04/29/2025","11,200.72","11,183.12","11,200.72","11,142.40","417.49K","0.16%"
"04/28/2025","11,182.29","11,179.35","11,208.15","11,152.45","367.85K","0.03%"
"04/25/2025","11,179.35","11,183.62","11,194.88","11,125.06","1.19M","-0.05%"
"04/24/2025","11,184.56","11,168.47","11,197.04","11,136.25","690.91K","0.15%"
"04/23/2025","11,168.06","11,093.03","11,178.84","11,086.05","600.20K","0.67%"
"04/22/2025","11,093.31","11,036.35","11,094.25","11,010.31","488.84K","0.41%"
